"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"FILOSOFI_MEASURE";"Mesures filosofi";"S_SOC_BEN_DI_HOU_BEN";"Part des prestations logement dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_SOC_BEN_DI_MIN_SOC";"Part des minimas sociaux dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S80S20_SL";"Rapport entre le niveau de vie cumulé des 20 % les plus riches et celui des 20 % les plus pauvres";
"OBS_STATUS";"Statut de l'observation";"O";"Valeur manquante (vm)";
"OBS_STATUS";"Statut de l'observation";"A";"Normale";
"TIME_PERIOD";"Période temporelle";"2023";"2023";
"UNIT_MEASURE";"Unité de mesure";"EUR_YR";"Euros par an";
"UNIT_MEASURE";"Unité de mesure";"NR";"Nombre";
"UNIT_MEASURE";"Unité de mesure";"PT";"Pourcentage";
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"0";"Unités";
GEO_OBJECT;Niveau géographique;FRANCE;France;
GEO_OBJECT;Niveau géographique;REG;Région;
GEO_OBJECT;Niveau géographique;DEP;Département;
GEO_OBJECT;Niveau géographique;COM;Commune;
GEO_OBJECT;Niveau géographique;ARM;Arrondissement municipal;
GEO_OBJECT;Niveau géographique;EPCI;Etablissement public de coopération intercommunal;
GEO_OBJECT;Niveau géographique;ARR;Arrondissement;
GEO_OBJECT;Niveau géographique;AAV2020;Aire d'attraction des villes 2020;
GEO_OBJECT;Niveau géographique;UU2020;Unité urbaine 2020;
GEO_OBJECT;Niveau géographique;ZE2020;Zones d'emploi 2020;
GEO_OBJECT;Niveau géographique;BV2022;Bassin de vie 2022;
GEO_OBJECT;Niveau géographique;OTHER;Autre type de territoires;
"GEO";"Géographie";"001";"Paris";"AAV2020"
"GEO";"Géographie";"002";"Lyon";"AAV2020"
"GEO";"Géographie";"003";"Marseille - Aix-en-Provence";"AAV2020"
"GEO";"Géographie";"004";"Lille (partie française)";"AAV2020"
"GEO";"Géographie";"024";"Caen";"AAV2020"
"GEO";"Géographie";"025";"Orléans";"AAV2020"
"GEO";"Géographie";"026";"Angers";"AAV2020"
"GEO";"Géographie";"005";"Toulouse";"AAV2020"
"GEO";"Géographie";"028";"Dijon";"AAV2020"
"GEO";"Géographie";"029";"Mulhouse";"AAV2020"
"GEO";"Géographie";"006";"Bordeaux";"AAV2020"
"GEO";"Géographie";"044";"Pau";"AAV2020"
"GEO";"Géographie";"030";"Perpignan";"AAV2020"
"GEO";"Géographie";"045";"Besançon";"AAV2020"
"GEO";"Géographie";"008";"Nantes";"AAV2020"
"GEO";"Géographie";"031";"Cannes - Antibes";"AAV2020"
"GEO";"Géographie";"046";"Poitiers";"AAV2020"
"GEO";"Géographie";"062";"Angoulême";"AAV2020"
"GEO";"Géographie";"032";"Brest";"AAV2020"
"GEO";"Géographie";"047";"Bayonne (partie française)";"AAV2020"
"GEO";"Géographie";"063";"Niort";"AAV2020"
"GEO";"Géographie";"010";"Strasbourg (partie française)";"AAV2020"
"GEO";"Géographie";"033";"Metz";"AAV2020"
"GEO";"Géographie";"048";"Dunkerque";"AAV2020"
"GEO";"Géographie";"064";"Bourges";"AAV2020"
"GEO";"Géographie";"012";"Montpellier";"AAV2020"
"GEO";"Géographie";"034";"Le Mans";"AAV2020"
"GEO";"Géographie";"049";"Valence";"AAV2020"
"GEO";"Géographie";"065";"Chartres";"AAV2020"
"GEO";"Géographie";"013";"Rennes";"AAV2020"
"GEO";"Géographie";"081";"Montauban";"AAV2020"
"GEO";"Géographie";"035";"Amiens";"AAV2020"
"GEO";"Géographie";"050";"Chambéry";"AAV2020"
"GEO";"Géographie";"066";"La Roche-sur-Yon";"AAV2020"
"GEO";"Géographie";"082";"Albi";"AAV2020"
"GEO";"Géographie";"014";"Grenoble";"AAV2020"
"GEO";"Géographie";"036";"Reims";"AAV2020"
"GEO";"Géographie";"051";"La Rochelle";"AAV2020"
"GEO";"Géographie";"067";"Cholet";"AAV2020"
"GEO";"Géographie";"037";"Nîmes";"AAV2020"
"GEO";"Géographie";"083";"Évreux";"AAV2020"
"GEO";"Géographie";"015";"Rouen";"AAV2020"
"GEO";"Géographie";"100";"Châteauroux";"AAV2020"
"GEO";"Géographie";"101";"Périgueux";"AAV2020"
"GEO";"Géographie";"052";"Quimper";"AAV2020"
"GEO";"Géographie";"068";"Boulogne-sur-Mer";"AAV2020"
"GEO";"Géographie";"038";"Valenciennes (partie française)";"AAV2020"
"GEO";"Géographie";"084";"Mâcon";"AAV2020"
"GEO";"Géographie";"017";"Nice";"AAV2020"
"GEO";"Géographie";"102";"Auxerre";"AAV2020"
"GEO";"Géographie";"039";"Le Havre";"AAV2020"
"GEO";"Géographie";"053";"Lorient";"AAV2020"
"GEO";"Géographie";"069";"Arras";"AAV2020"
"GEO";"Géographie";"085";"Tarbes";"AAV2020"
"GEO";"Géographie";"018";"Toulon";"AAV2020"
"GEO";"Géographie";"103";"Rodez";"AAV2020"
"GEO";"Géographie";"119";"Gap";"AAV2020"
"GEO";"Géographie";"054";"Troyes";"AAV2020"
"GEO";"Géographie";"040";"Avignon";"AAV2020"
"GEO";"Géographie";"070";"Chalon-sur-Saône";"AAV2020"
"GEO";"Géographie";"086";"Belfort";"AAV2020"
"GEO";"Géographie";"019";"Tours";"AAV2020"
"GEO";"Géographie";"055";"Saint-Nazaire";"AAV2020"
"GEO";"Géographie";"104";"Bastia";"AAV2020"
"GEO";"Géographie";"041";"Limoges";"AAV2020"
"GEO";"Géographie";"071";"Cherbourg-en-Cotentin";"AAV2020"
"GEO";"Géographie";"087";"Brive-la-Gaillarde";"AAV2020"
"GEO";"Géographie";"120";"Saintes";"AAV2020"
"GEO";"Géographie";"056";"Saint-Brieuc";"AAV2020"
"GEO";"Géographie";"042";"Lens - Liévin";"AAV2020"
"GEO";"Géographie";"072";"Narbonne";"AAV2020"
"GEO";"Géographie";"105";"Castres";"AAV2020"
"GEO";"Géographie";"020";"Nancy";"AAV2020"
"GEO";"Géographie";"137";"Manosque";"AAV2020"
"GEO";"Géographie";"088";"Saint-Malo";"AAV2020"
"GEO";"Géographie";"138";"Vesoul";"AAV2020"
"GEO";"Géographie";"121";"Sarreguemines (partie française)";"AAV2020"
"GEO";"Géographie";"043";"Annecy";"AAV2020"
"GEO";"Géographie";"057";"Vannes";"AAV2020"
"GEO";"Géographie";"073";"Calais";"AAV2020"
"GEO";"Géographie";"089";"Alès";"AAV2020"
"GEO";"Géographie";"022";"Clermont-Ferrand";"AAV2020"
"GEO";"Géographie";"139";"Les Sables-d'Olonne";"AAV2020"
